grammar	tier	parity	fix
ada	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: Ada aggregate/index-constraint compatibility normalized to C oracle; Docker tier parity verified 2026-06-11
agda	IV-scanner	2/40	layout scanner, deep port needed (maple)
angular	IV-recovery?	22/40	Angular non-null assertion and strong-text ampersand recovery normalization clear navigation-list.component.html and home.component.html; ext=.component.html,.ng.html; remaining residuals are broad root/document recovery cases (see spec)
apex	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: Apex generic local declarations and .class literal compatibility normalized to C oracle; Docker parity verified 2026-06-11
arduino	CLEAN	40/40	in ratchet
asm	IV-recovery	0/40	faithful C error-cost version competition (see spec)
astro	CLEAN	40/40	in ratchet
authzed	IV-unknown	36/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 36/40, trunc=27, errTree=25, panics=0; previous CLEAN row was stale: Authzed clean-root definition coalescing promoted; Docker tier-scan parity verified 2026-06-11
awk	IV-unknown	25/29	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 25/29, trunc=2, errTree=2, panics=0; previous CLEAN row was stale: AWK T.gawk recovered shell command compatibility normalized to C oracle; Docker tier parity verified 2026-06-12
bash	IV-recovery?	unmeasured	ext=.sh; Bash command-name concatenation normalization cleared ci/run-static-analysis.sh; split Docker C-oracle verification 2026-06-12 improved 27/34 + 3/6 to 28/34 + 3/6. Remaining divergences are recovery-shape: go ERROR root where C recovers program (lib.sh, git-prompt.sh, git-subtree.sh, git-filter-branch.sh, git-gui askpass/askyesno) plus child-count/error-shape diffs; 1 trunc (cmd-list.sh no_stacks_alive).
bass	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
beancount	CLEAN	3/3	latest wringer cgo_harness/harness_out/wringer_beancount_all_root_tail_20260623T192449/wringer_summary.json closed clean 3/3 with family_counts {clean:3}; resolved by generalized accepted clean-tail forest/root finalization fix, superseding prior accepted-shape/root-child materialization residual
bibtex	IV-unknown	38/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 38/40, trunc=2, errTree=0, panics=0; previous missing row was stale
bicep	IV-unknown	34/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 34/40, trunc=6, errTree=6, panics=0; previous CLEAN row was stale: C-recovery gate keeps extension samples under infrastructure roots with localized ERROR regions (verified 2026-06-12)
bitbake	IV-unknown	35/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 35/40, trunc=5, errTree=3, panics=0; previous CLEAN row was stale: BitBake recovered shell-function/function-flag shape normalization cleared remaining 3 residuals; Docker D-tier C-oracle parity verified 2026-06-13
blade	IV-recovery?	unmeasured	ext=.blade.php; faithful C error-cost version competition (see spec)
brightscript	IV-recovery?	11/40	ext=.brs; faithful C error-cost version competition (see spec)
c	IV-recovery	22/40	faithful C error-cost version competition (see spec)
c_sharp	IV-recovery	unmeasured	C# scoped/ref type, generic invocation initializer, and identifier is-pattern normalizations lift aggressive real-corpus deep parity 15/26 to 18/26 while focused C-oracle remains 20/20; full tier row remains IV pending a 40-case tier rescan, with residuals in recovery/error-root plus switch and try/finally shapes
caddy	IV-recovery?	11/40	ext=Caddyfile; faithful C error-cost version competition (see spec)
cairo	IV-recovery?	1/40	ext=.cairo; faithful C error-cost version competition (see spec)
capnp	IV-unknown	14/21	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 14/21, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
chatito	IV-unknown	1/5	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 1/5, trunc=4, errTree=0, panics=0; previous CLEAN row was stale: trailing EOF alias-body recovery normalized to C on dateBooking_large.chatito
circom	IV-shape?	19/40	ext=.circom; preliminary
clojure	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
cmake	CLEAN	40/40	in ratchet
cobol	CLEAN	40/40	in ratchet; Docker grammargen C parity verified 2026-07-09 under run_grammargen_c_parity cobol40 (eligible=40 no_error=40 tree_parity=40 divergences=0, no timeout). Focused aggressive real-corpus parity also verified 25/25 no-error, sexpr, and deep parity in focus_targets/20260709T051852Z.
comment	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: full-parse stack cap=2 verified 2026-06-12; parity clean, perf floor pending
commonlisp	IV-recovery?	unmeasured	ext=.lisp,.cl; faithful C error-cost version competition (see spec)
cooklang	IV-recovery	0/3	ext=.cook; stackcap disproven (cap 2 not kept); Cooklang-gated C recovery plus local punctuation/fence normalization kept 2026-06-14: D-tier improves 0/3 -> 1/3, trunc 3 -> 0, panics 0. frontmatter_test_recipe now matches; residuals are complex_test_recipe root child-count 51 vs C 42 and test_recipe metadata child-shape (root[2]/root[3] metadata child counts 0 vs C 3/2) after full-span accepted recipe roots.
corn	IV-unknown	22/23	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 22/23, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: C-recovery gate plus quoted whole-path path_seg normalization clears quoted_keys.corn
cpon	IV-unknown	9/10	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 9/10, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: null literal leaf child normalized to C oracle
cpp	IV-recovery	9/40	faithful C error-cost version competition (see spec); sampled full-integrity wringer 20260623 on args.h shows baseline/stack2 nonmatch with goStop=no_stacks_alive, Go translation_unit 0:641 vs C 0:7192, rootErr both true, lastTokenEnd 652/expectedEOF 7192, so witness includes truncation/pre-recovery overlay
crystal	IV-shape?	unmeasured	cap=2 landed (was unmeasurable: markd entities.cr 111KB uniform hash literal never finishes at default cap >240s, 95% CPU in glr.go merge-equiv frontier rescans, ~2x input -> ~25x time; cap2 parses it in ~130ms); Crystal hash/named_tuple opening-brace compatibility pass cleared decode.cr, entities.cr, legacy.cr, renderer.cr, and history.cr with no new file-level divergers. MEASURE-DTIER N=40: medianRatio 5.42x aggRatio 18.34x trunc=0 panics=0; remaining 21 div not stack-budget: ERROR-root where C parses clean (spec_helper.cr go-cc=17 c-cc=7, html_entities.cr, node.cr; 18 errTree) plus tuple/inline hash span residuals and recovery shape gaps.
